〆切	(しめきり)
半壊	(はんかい)
半季	(はんき)
半加工品	(はんかこうひん)
半減	(はんげん)
半減期	(はんげんき)
半鹹水	(はんかんすい)
半角	(はんかく)
半截	(はんせつ)
半解	(はんかい)
半金	(はんきん)
半襟	(はんえり)
半径	(はんけい)
半句	(はんく)
半開	(はんかい)
半開き	(はんびらき)
半開国	(はんかいこく)
半可	(はんか)
半可通	(はんかつう)
半口	(はんくち)
半狂乱	(はんきょうらん)
半潰れ	(はんつぶれ)
半里	(はんり)
半流動体	(はんりゅうどうたい)
半輪	(はんりん)
半裸	(はんら)
半裸体	(はんらたい)
半盲	(はんもう)
半盲症	(はんもうしょう)
半面	(はんめん)
半面識	(はんめんしき)
半母音	(はんぼいん)
半年	(はんとし,はんねん)
半年ごとに	(はんとしごとに)
半年毎に	(はんとしごとに)
半農	(はんのう)
半片	(はんぺん,はんぺい)
半平	(はんぺん,はんぺい)
半期	(はんき)
半旗	(はんき)
半乾き	(はんかわき)
半切	(はんせつ)
半切れ	(はんきれ)
半切符	(はんきっぷ)
半球	(はんきゅう)
半人前	(はんにんまえ)
半日	(はんにち,はんじつ)
半殺し	(はんごろし)
半焼け	(はんやけ)
半身	(はんしん)
半身不随	(はんしんふずい)
半身像	(はんしんぞう)
半身浴	(はんしんよく)
半神	(はんしん)
半生	(はんせい)
半時	(はんとき,はんじ)
半世紀	(はんせいき)
半熟	(はんじゅく)
半熟練工	(はんじゅくれんこう)
半数	(はんすう)
半死	(はんし)
半死半生	(はんしはんしょう)
半価	(はんか)
半天	(はんてん)
半田	(はんだ,ハンダ)
半艇身	(はんていしん)
半透明	(はんとうめい)
半途	(はんと)
半夏生	(はんげしょう,ハンゲショウ)
半宵	(はんしょう)
半諧音	(はんかいおん)
半信半疑	(はんしんはんぎ)
半休	(はんきゅう)
半袖	(はんそで)
半靴	(はんぐつ,ほうか,はんか)
半塩水	(はんえんすい)
半眼で	(はんがんで)
半夜	(はんや)
半意識	(はんいしき)
半音	(はんおん)
半音階	(はんおんかい)
半陰陽	(はんいんよう)
半陰影	(はんいんえい)
半影	(はんえい)
半永久的	(はんえいきゅうてき)
半玉	(はんぎょく)
半円	(はんえん)
半円形	(はんえんけい)
半月	(はんげつ,はんつき)
半月刊	(はんげっかん)
半張り	(はんばり)
半折	(はんせつ)
半直線	(はんちょくせん)
半値	(はんね)
半紙	(はんし)
半製品	(はんせいひん)
半鐘	(はんしょう)
半周	(はんしゅう)
半煮え	(はんにえ)
半濁音	(はんだくおん)
半作	(はんさく)
扮飾	(ふんしょく)
伴	(とも)
伴う	(ともなう)
伴なう	(ともなう)
伴侶	(はんりょ,ばんりょ)
伴僧	(ばんそう)
伴食	(ばんしょく)
伴天連	(バテレン)
伴奏	(ばんそう)
伴奏部	(ばんそうぶ)
絆	(きずな,きづな)
絆創膏	(ばんそうこう,バンソウコウ,バンソーコー)
瓣	(べん)
瓣膜	(べんまく)
邦	(くに)
邦画	(ほうが)
邦貨	(ほうか)
邦人	(ほうじん)
邦題	(ほうだい)
邦訳	(ほうやく)
邦楽	(ほうがく)
邦字新聞	(ほうじしんぶん)
浜	(はま,ハマ)
浜べ	(はまべ)
浜辺	(はまべ)
幇間	(たいこもち)
幇助	(ほうじょ)
膀胱	(ぼうこう)
膀胱炎	(ぼうこうえん)
蚌	(はまぐり,ハマグリ)
棒	(ぼう)
棒きれ	(ぼうきれ,ぼうぎれ)
棒グラフ	(ぼうグラフ)
棒暗記	(ぼうあんき)
棒立ち	(ぼうだち)
棒切	(ぼうきれ,ぼうぎれ)
棒切れ	(ぼうきれ,ぼうぎれ)
棒線	(ぼうせん)
棒振	(ボウフラ,ぼうふら,ボーフラ)
棒状	(ぼうじょう)
傍	(かたわら)
傍ら	(かたわら)
傍らに	(かたわらに)
傍輩	(ほうばい)
傍点	(ぼうてん)
傍耳	(かたみみ)
傍観	(ぼうかん)
傍観者	(ぼうかんしゃ)
傍惚れ	(おかぼれ)
傍見	(おかみ)
傍近く	(そばちかく)
傍迷惑	(はためいわく)
傍目	(おかめ)
傍目八目	(おかめはちもく)
傍人	(ぼうじん)
傍若無人	(ぼうじゃくぶじん)
傍焼き	(おかやき)
傍視	(わきみ,ぼうし)
傍受	(ぼうじゅ)
傍聴	(ぼうちょう)
傍聴料	(ぼうちょうりょう)
傍聴券	(ぼうちょうけん)
傍聴人	(ぼうちょうにん)
傍聴無料	(ぼうちょうむりょう)
傍聴席	(ぼうちょうせき)
傍系	(ぼうけい)
傍線	(ぼうせん)
傍訓	(ぼうくん)
傍役	(わきやく)
傍杖	(そばづえ)
傍証	(ぼうしょう)
傍注	(ぼうちゅう)
傍註	(ぼうちゅう)
包み	(つつみ)
包みこむ	(つつみこむ)
包みなおす	(つつみなおす)
包みなく	(つつみなく)
包み金	(つつみがね,つつみきん)
包み釦	(つつみぼたん)
包み匿す	(つつみかくす)
包み飾る	(つつみかざる)
包み物	(つつみもの)
包み隠し	(つつみかくし)
包み隠す	(つつみかくす)
包み込む	(つつみこむ)
包み直す	(つつみなおす)
包み紙	(つつみがみ)
包む	(つつむ)
包める	(くるめる)
包蔵	(ほうぞう)
包帯	(ほうたい)
包丁	(ほうちょう)
包含	(ほうがん)
包含的	(ほうがんてき)
包金	(つつみがね,つつみきん)
包茎	(ほうけい,ほうきょう)
包莖	(ほうけい,ほうきょう)
包括	(ほうかつ)
包括的	(ほうかつてき)
包皮	(ほうひ)
包皮切断	(ほうひせつだん)
包容	(ほうよう)
包容力	(ほうようりょく)
包摂	(ほうせつ)
包囲	(ほうい)
包隠す	(つつみかくす)
包込む	(つつみこむ)
包紙	(つつみがみ)
包装	(ほうそう)
枹	(ばち,バチ)
胞衣	(えな,ほうい,ほうえ)
胞子	(ほうし)
褒めそやす	(ほめそやす)
褒めたたえる	(ほめたたえる)
褒めたてる	(ほめたてる)
褒めちぎる	(ほめちぎる)
褒める	(ほめる)
褒め称える	(ほめたたえる)
褒め称す	(ほめそやす)
褒め詞	(ほめことば)
褒め奉る	(ほめまつる)
褒め歌う	(ほめうたう)
褒め合い	(ほめあい)
褒め立てる	(ほめたてる)
褒め殺し	(ほめごろし,ほめころし,ホメごろし)
褒め殺す	(ほめごろす)
褒め上げる	(ほめあげる)
褒め言葉	(ほめことば)
褒貶	(ほうへん)
褒辞	(ほうじ)
褒奨	(ほうしょう)
褒美	(ほうび)
褒賞	(ほうしょう)
褒章	(ほうしょう)
褒状	(ほうじょう)
雹	(ひょう,ヒョウ)
薄	(ススキ,すすき)
薄い	(うすい)
薄ぎたない	(うすぎたない)
薄ぐらい	(うすぐらい)
薄っぺら	(うすっぺら)
薄バカ	(うすばか,うすバカ,ウスバカ)
薄まる	(うすまる)
薄める	(うすめる)
薄らぐ	(うすらぐ)
薄れる	(うすれる)
薄暗い	(うすぐらい)
薄板	(うすいた)
薄々	(うすうす)
薄薄	(うすうす)
薄荷	(はっか,はか,ハッカ)
薄荷精	(はっかせい)
薄化粧	(うすげしょう)
薄利多売	(はくりたばい)
薄馬鹿	(うすばか,うすバカ,ウスバカ)
薄明	(はくめい)
薄膜	(うすまく,はくまく)
薄皮	(うすかわ)
薄片	(はくへん)
薄情	(はくじょう)
薄刃	(うすば)
薄弱	(はくじゃく)
薄幸	(はっこう)
薄倖	(はっこう)
薄揚げ	(うすあげ)
薄汚い	(うすぎたない)
薄汚ない	(うすぎたない)
薄着	(うすぎ)
薄志弱行	(はくしじゃっこう)
宝	(たから)
宝クジ	(たからくじ)
宝くじ	(たからくじ)
宝ばこ	(たからばこ)
宝もの	(たからもの,ほうもつ)
宝島	(たからじま)
宝庫	(ほうこ)
宝籤	(たからくじ)
宝生	(ほうしょう)
宝石	(ほうせき)
宝物	(たからもの,ほうもつ)
宝箱	(たからばこ)
宝玉	(ほうぎょく)
保する	(ほする,ほうする)
保ち合い	(もちあい,たもちあい)
保つ	(たもつ,もつ)
保安	(ほあん)
保安林	(ほあんりん)
保安要員	(ほあんよういん)
保持	(ほじ)
保持者	(ほじしゃ)
保存	(ほぞん)
保存量	(ほぞんりょう)
保存系	(ほぞんけい)
保管	(ほかん)
保管会社	(ほかんがいしゃ)
保管金	(ほかんきん)
保管料	(ほかんりょう)
保管林	(ほかんりん)
保管人	(ほかんにん)
保管物	(ほかんぶつ)
保管証	(ほかんしょう)
保合い	(もちあい,たもちあい)
保護	(ほご)
保護の聖人	(ほごのせいじん)
保護関税	(ほごかんぜい)
保護関税率	(ほごかんぜいりつ)
保護観察	(ほごかんさつ)
保護国	(ほごこく)
保護検束	(ほごけんそく)
保護金	(ほごきん)
保護領	(ほごりょう)
保護貿易	(ほごぼうえき)
保護鳥	(ほごちょう)
保護色	(ほごしょく)
保護税	(ほごぜい)
保護司	(ほごし)
保護団体	(ほごだんたい)
保護委員	(ほごいいん)
保護者	(ほごしゃ)
保健	(ほけん)
保健婦	(ほけんふ)
保健所	(ほけんじょ,ほけんしょ)
保健医	(ほけんい)
保菌者	(ほきんしゃ)
保塁	(ほうるい,ほるい)
保冷	(ほれい)
保留	(ほりゅう)
保母	(ほぼ)
保姆	(ほぼ)
保全	(ほぜん)
保全会	(ほぜんかい)
保全会社	(ほぜんがいしゃ)
保身	(ほしん)
保身術	(ほしんじゅつ)
保釈	(ほしゃく)
保釈金	(ほしゃくきん)
保釈中	(ほしゃくちゅう)
保守	(ほしゅ)
保守党	(ほしゅとう)
保守的	(ほしゅてき)
保守系	(ほしゅけい)
保守性	(ほしゅせい)
保守主義	(ほしゅしゅぎ)
保税	(ほぜい)
保税倉庫	(ほぜいそうこ)
保税地域	(ほぜいちいき)
保温	(ほおん)
保険	(ほけん)
保険つき	(ほけんつき,ほけんづき)
保険付	(ほけんつき,ほけんづき)
保険付き	(ほけんつき,ほけんづき)
保険会社	(ほけんがいしゃ)
保険金	(ほけんきん)
保険金受取人	(ほけんきんうけとりにん)
保険料	(ほけんりょう)
保険料率	(ほけんりょうりつ)
保険医	(ほけんい)
保険証	(ほけんしょう)
保線	(ほせん)
保養	(ほよう)
保養地	(ほようち)
保養所	(ほようじょ,ほようしょ)
保養院	(ほよういん)
保有	(ほゆう)
保有米	(ほゆうまい)
保有者	(ほゆうしゃ)
保育	(ほいく)
保育所	(ほいくしょ,ほいくじょ)
保育園	(ほいくえん)
保障	(ほしょう)
保障付	(ほしょうつき)
保障付き	(ほしょうつき)
保障占領	(ほしょうせんりょう)
保証	(ほしょう)
保証付	(ほしょうつき)
保証付き	(ほしょうつき)
保証金	(ほしょうきん)
保証牛乳	(ほしょうぎゅうにゅう)
保証人	(ほしょうにん)
堡礁	(ほしょう)
堡塁	(ほうるい,ほるい)
飽かす	(あかす)
飽かず	(あかず)
飽き	(あき)
飽きしょう	(あきしょう)
飽きる	(あきる)
飽き飽き	(あきあき)
飽き性	(あきしょう)
飽くことを知らない	(あくことをしらない)
飽くまで	(あくまで)
飽く迄	(あくまで)
飽和	(ほうわ)
飽和状態	(ほうわじょうたい)
飽食	(ほうしょく)
寳	(たから)
抱え	(かかえ)
抱える	(かかえる)
抱きあう	(だきあう)
抱きかかえる	(だきかかえる)
抱きしめる	(だきしめる)
抱きとめる	(だきとめる)
抱きよせる	(だきよせる)
抱き抱える	(だきかかえる)
抱き締める	(だきしめる)
抱き合う	(だきあう)
抱き寄せる	(だきよせる)
抱き留める	(だきとめる)
抱き起こす	(だきおこす)
抱き起す	(だきおこす)
抱き上げる	(だきあげる)
抱き込む	(だきこむ)
抱き止める	(だきとめる)
抱く	(いだく)
抱っこ	(だっこ)
抱締める	(だきしめる)
抱負	(ほうふ)
抱腹	(ほうふく)
抱腹絶倒	(ほうふくぜっとう)
抱合う	(だきあう)
抱留める	(だきとめる)
抱擁	(ほうよう)
抱込む	(だきこむ)
豹変	(ひょうへん)
報	(ほう)
報いる	(むくいる)
報え	(こたえ)
報える	(こたえる)
報じたように	(ほうじたように)
報じる	(ほうじる)
報ずる	(ほうずる)
報せ	(しらせ)
報せる	(しらせる)
報償	(ほうしょう)
報酬	(ほうしゅう)
報導	(ほうどう)
報道	(ほうどう)
報道官	(ほうどうかん)
報道機関	(ほうどうきかん)
報復	(ほうふく)
報復措置	(ほうふくそち)
報告	(ほうこく)
報告書	(ほうこくしょ)
報告者	(ほうこくしゃ)
報知	(ほうち)
鉋	(かんな,カンナ)
鉋屑	(かんなくず)
暴きだす	(あばきだす)
暴き出す	(あばきだす)
暴く	(あばく)
暴れだす	(あばれだす)
暴れまわる	(あばれまわる)
暴れる	(あばれる)
暴れ出す	(あばれだす)
暴れ回る	(あばれまわる)
暴れ廻る	(あばれまわる)
暴れ狂う	(あばれくるう)
暴れ馬	(あばれうま)
暴れ込む	(あばれこむ)
暴れ者	(あばれもの)
暴動	(ぼうどう)
暴発	(ぼうはつ)
暴風	(ぼうふう,あらし)
暴風雨	(ぼうふうう,あらし)
暴挙	(ぼうきょ)
暴君	(ぼうくん)
暴力	(ぼうりょく)
暴力団	(ぼうりょくだん)
暴利	(ぼうり)
暴露	(ばくろ)
暴落	(ぼうらく)
暴虐	(ぼうぎゃく)
暴食	(ぼうしょく)
暴騰	(ぼうとう)
暴戻	(ぼうれい)
暴徒	(ぼうと)
暴行	(ぼうこう)
暴言	(ぼうげん)
暴飲	(ぼういん)
暴飲暴食	(ぼういんぼうしょく)
暴走	(ぼうそう)
暴走族	(ぼうそうぞく)
鮑	(あわび,アワビ)
爆ぜる	(はぜる)
爆発	(ばくはつ)
爆発的	(ばくはつてき)
爆発管	(ばくはつかん)
爆発力	(ばくはつりょく)
爆発物	(ばくはつぶつ)
爆発性	(ばくはつせい)
爆風	(ばくふう)
爆撃	(ばくげき)
爆撃機	(ばくげきき)
爆雷	(ばくらい)
爆裂	(ばくれつ)
爆破	(ばくは)
爆沈	(ばくちん)
爆死	(ばくし)
爆砕	(ばくさい)
爆弾	(ばくだん,バクダン)
爆笑	(ばくしょう)
爆心地	(ばくしんち)
爆薬	(ばくやく)
爆竹	(ばくちく)
杯	(さかずき,さかづき,うき)
卑しい	(いやしい)
卑しむ	(いやしむ)
卑しめる	(いやしめる)
卑しん坊	(いやしんぼう)
卑わい	(ひわい)
卑称	(ひしょう)
卑見	(ひけん)
卑賎	(ひせん)
卑賤	(ひせん)
卑金属	(ひきんぞく)
卑近	(ひきん)
卑劣	(ひれつ)
卑劣漢	(ひれつかん)
卑陋	(ひろう)
卑怯	(ひきょう)
卑屈	(ひくつ)
卑属	(ひぞく)
卑屬	(ひぞく)
卑俗	(ひぞく)
卑猥	(ひわい)
卑下	(ひげ)
卑小	(ひしょう)
卑言	(ひげん)
卑語	(ひご)
盃	(さかずき,さかづき,うき)
悲しい	(かなしい)
悲しみ	(かなしみ)
悲しむ	(かなしむ)
悲哀	(ひあい)
悲報	(ひほう)
悲惨	(ひさん)
悲愴	(ひそう)
悲憤慷慨	(ひふんこうがい)
悲歌慷慨	(ひかこうがい)
悲観	(ひかん)
悲観的	(ひかんてき)
悲劇	(ひげき)
悲恋	(ひれん)
悲鳴	(ひめい)
悲酸	(ひさん)
悲嘆	(ひたん)
悲歎	(ひたん)
悲痛	(ひつう)
悲喜こもごも	(ひきこもごも)
悲喜交々	(ひきこもごも)
悲喜交交	(ひきこもごも)
悲願	(ひがん)
悲運	(ひうん)
悲壮	(ひそう)
碑銘	(ひめい)
碑文	(ひぶん)
北	(きた)
北アイルランド	(きたアイルランド)
北アメリカ	(きたアメリカ)
北カリフォルニア	(ほくカリフォルニア)
北の方	(きたのかた,きたのほう)
北岸	(ほくがん)
北岸沿いに	(ほくがんぞいに)
北半	(ほくはん)
北半球	(きたはんきゅう)
北々東	(ほくほくとう)
北北東	(ほくほくとう)
北々西	(ほくほくせい)
北北西	(ほくほくせい)
北氷洋	(ほくひょうよう,ほっぴょうよう)
北部	(ほくぶ)
北側	(きたがわ,ほくそく)
北朝	(ほくちょう)
北朝鮮	(きたちょうせん)
北辰	(ほくしん)
北大西洋	(きたたいせいよう)
北大西洋条約	(きたたいせいようじょうやく)
北東	(ほくとう,きたひがし)
北斗七星	(ほくとしちせい)
北斗星	(ほくとせい)
北端	(ほくたん)
北辺	(ほくへん)
北方	(ほっぽう)
北風	(きたかぜ,ほくふう)
北光	(ほっこう)
北国	(きたぐに,ほっこく)
北国人	(ほっこくじん)
北海	(ほっかい)
北海道	(ほっかいどう)
北海道開発庁長官	(ほっかいどうかいはつちょうちょうかん)
北航	(ほっこう)
北回帰線	(きたかいきせん)
北極	(ほっきょく)
北極光	(ほっきょくこう)
北極海	(ほっきょくかい)
北極圏	(ほっきょくけん)
北極星	(ほっきょくせい)
北極熊	(ほっきょくぐま,ホッキョクグマ)
北極洋	(ほっきょくよう)
北寄り	(きたより)
北郊	(ほっこう)
北進	(ほくしん)
北京	(ペキン,ペイチン)
北京語	(ペキンご)
北境	(ほっきょう)
北口	(きたぐち)
北嶺	(ほくれい)
北陸	(ほくりく)
北満	(ほくまん)
北門	(きたもん,ほくもん)
北米	(ほくべい)
北米合衆国	(ほくべいがっしゅうこく)
北米土人	(ほくべいどじん)
北面	(ほくめん)
北欧	(ほくおう)
北欧人	(ほくおうじん)
北欧諸国	(ほくおうしょこく)
北清事変	(ほくしんじへん)
北山	(きたやま)
北上	(ほくじょう)
北受け	(きたうけ)
北天	(ほくてん)
北緯	(ほくい)
北西	(ほくせい)
北西航路	(ほくせいこうろ)
北下ろし	(きたおろし)
北鮮	(ほくせん)
北向き	(きたむき)
北行	(ほっこう)
北洋	(ほくよう)
北枕	(きたまくら,キタマクラ)
北支	(ほくし)
北支事変	(ほくしじへん)
貝	(かい)
貝がら	(かいがら)
貝ボタン	(かいボタン)
貝毒	(かいどく)
貝割	(かいわり)
貝割り	(かいわり)
貝貨	(ばいか)
貝殻	(かいがら)
貝類	(かいるい)
貝殼	(かいがら)
貝柱	(かいばしら)
背	(せい)
背がたかい	(せがたかい)
背が低い	(せがひくい)
背が高い	(せがたかい)
背く	(そむく)
背ける	(そむける)
背たけ	(せたけ,せいたけ)
背なか	(せなか)
背のび	(せのび,せいのび)
背の君	(せのきみ)
背ぼね	(せぼね)
背徳	(はいとく)
背番号	(せばんごう)
背負う	(せおう,しょう)
背骨	(せぼね)
背広	(せびろ,セビロ)
背後	(はいご)
背教	(はいきょう)
背景	(はいけい)
背任	(はいにん)
背伸び	(せのび,せいのび)
背信	(はいしん)
背信者	(はいしんしゃ)
背延び	(せのび,せいのび)
背泳ぎ	(せおよぎ)
背丈	(せたけ,せいたけ)
背中	(せなか)
背中あわせ	(せなかあわせ)
背中の痛み	(せなかのいたみ)
背中合せ	(せなかあわせ)
背中合わせ	(せなかあわせ)
倍	(ばい)
倍にする	(ばいにする)
倍大	(ばいだい)
倍額	(ばいがく)
倍加	(ばいか)
倍精度	(ばいせいど)
倍旧	(ばいきゅう)
倍率	(ばいりつ)
倍数	(ばいすう)
倍音	(ばいおん)
倍増	(ばいぞう)
倍増し	(ばいまし)
悖徳	(はいとく)
被い	(おおい)
被う	(おおう)
被せる	(かぶせる)
被ばく	(ひばく)
被ばく者	(ひばくしゃ)
被る	(かぶる,かむる)
被爆	(ひばく)
被爆者	(ひばくしゃ)
被差別	(ひさべつ)
被乗数	(ひじょうすう)
被除数	(ひじょすう)
被担保債権額	(ひたんぽさいけんがく)
被服	(ひふく)
被覆	(ひふく)
被告	(ひこく)
被告人	(ひこくにん)
被害	(ひがい)
被害を受ける	(ひがいをうける)
被害妄想	(ひがいもうそう)
被害者	(ひがいしゃ)
被検者	(ひけんしゃ)
被減数	(ひげんすう)
被曝	(ひばく)
被写体	(ひしゃたい)
被選挙権	(ひせんきょけん)
被選挙資格	(ひせんきょしかく)
被験者	(ひけんしゃ)
被傭者	(ひようしゃ)
被用者	(ひようしゃ)
被災	(ひさい)
被災地	(ひさいち)
被災者	(ひさいしゃ)
備え	(そなえ)
備えつける	(そなえつける)
備える	(そなえる)
備え付け	(そなえつけ)
備え付ける	(そなえつける)
備に	(つぶさに)
備わる	(そなわる)
備付	(そなえつけ)
備後表	(びんごおもて)
備荒	(びこう)
備荒食	(びこうしょく)
備荒貯蓄	(びこうちょちく)
備考	(びこう)
備砲	(びほう)
備品	(びひん)
備忘	(びぼう)
備忘録	(びぼうろく)
備蓄	(びちく)
備蓄米	(びちくまい)
焙り出し	(あぶりだし)
焙り出す	(あぶりだす)
焙る	(あぶる)
焙烙	(ほうろく,ほうらく)
輩	(ばら)
輩出	(はいしゅつ)
唄	(うた)
唄う	(うたう)
奔る	(はしる)
奔放	(ほんぽう)
奔放不羈	(ほんぽうふき)
奔流	(ほんりゅう)
奔馬	(ほんば)
奔走	(ほんそう)
犇めき	(ひしめき)
犇々	(ひしひし,ヒシヒシ)
犇犇	(ひしひし,ヒシヒシ)
本	(ほん)
本の	(ほんの)
本ぶり	(ほんぶり)
本もの	(ほんもの,ホンモノ)
本案	(ほんあん)
本邦	(ほんぽう)
本々	(もともと)
本本	(もともと)
本部	(ほんぶ)
本草	(ほんぞう)
本草学	(ほんぞうがく)
本場	(ほんば)
本場所	(ほんばしょ)
本場物	(ほんばもの)
本朝	(ほんちょう)
本船	(ほんせん)
本船渡し	(ほんせんわたし)
本当	(ほんとう,ほんと,ホントー)
本當	(ほんとう,ほんと,ホントー)
本島	(ほんとう)
本盗	(ほんとう)
本道	(ほんどう)
本店	(ほんてん,ほんだな)
本殿	(ほんでん)
本調子	(ほんちょうし,ほんじょうし)
本読み	(ほんよみ)
本隊	(ほんたい)
本番	(ほんばん)
本方	(もとかた)
本縫い	(ほんぬい)
本俸	(ほんぽう)
本腹	(ほんばら,ほんぷく)
本稿	(ほんこう)
本格	(ほんかく)
本格的	(ほんかくてき)
本格化	(ほんかくか)
本卦がえり	(ほんけがえり)
本卦帰り	(ほんけがえり)
本卦還り	(ほんけがえり)
本管	(ほんかん)
本館	(ほんかん)
本国	(ほんごく,ほんこく)
本国人	(ほんごくじん)
本会議	(ほんかいぎ)
本籍	(ほんせき)
本籍地	(ほんせきち)
本家	(ほんけ)
本家本元	(ほんけほんもと)
本建築	(ほんけんちく)
本降り	(ほんぶり)
本街道	(ほんかいどう)
本結び	(ほんむすび)
本節	(ほんせつ)
本金庫	(ほんきんこ)
本筋	(ほんすじ)
本局	(ほんきょく)
本拠	(ほんきょ)
本拠地	(ほんきょち)
本絹	(ほんけん)
本科	(ほんか)
本来	(ほんらい)
本塁	(ほんるい)
本塁打	(ほんるいだ)
本領	(ほんりょう)
本流	(ほんりゅう)
本論	(ほんろん)
本名	(ほんみょう,ほんめい)
本命	(ほんめい)
本末顛倒	(ほんまつてんとう)
本末顚倒	(ほんまつてんとう)
本末転倒	(ほんまつてんとう)
本木	(もとき)
本能	(ほんのう)
本年	(ほんねん)
本棚	(ほんだな)
本妻	(ほんさい)
本気	(ほんき)
本契約	(ほんけいやく)
本籤	(ほんくじ)
本然	(ほんぜん,ほんねん)
本人	(ほんにん)
本日	(ほんじつ)
本膳	(ほんぜん)
本社	(ほんしゃ,ほんじゃ)
本省	(ほんしょう)
本試験	(ほんしけん)
本書	(ほんしょ)
本署	(ほんしょ)
本数	(ほんすう)
本訴	(ほんそ)
本曇り	(ほんぐもり)
本堂	(ほんどう)
本題	(ほんだい)
本体	(ほんたい)
本通り	(ほんどおり)
本望	(ほんもう)
本位	(ほんい)
本文	(ほんぶん,ほんもん)
本屋	(ほんや)
本舞台	(ほんぶたい)
本物	(ほんもの,ホンモノ)
本務	(ほんむ)
本線	(ほんせん)
本箱	(ほんばこ)
本校	(ほんこう)
本心	(ほんしん)
本性	(ほんしょう,ほんせい)
本腰	(ほんごし)
本業	(ほんぎょう)
本意	(ほんい,ほい)
本義	(ほんぎ)
本音	(ほんね)
本営	(ほんえい)
本影	(ほんえい)
本員	(ほんいん)
本源	(ほんげん)
本院	(ほんいん)
本願	(ほんがん)
本葬	(ほんそう)
本則	(ほんそく)
本章	(ほんしょう)
本陣	(ほんじん)
本職	(ほんしょく)
本旨	(ほんし)
本紙	(ほんし)
本誌	(ほんし)
本質	(ほんしつ)
本州	(ほんしゅう)
本字	(ほんじ)
本尊	(ほんぞん)
崩す	(くずす)
崩れる	(くずれる)
崩壊	(ほうかい)
崩潰	(ほうかい)
崩御	(ほうぎょ)
繃帯	(ほうたい)
迸る	(ほとばしる,とばしる)
逬る	(ほとばしる,とばしる)
逼る	(せまる,せる)
逼迫	(ひっぱく)
鼻	(はな)
鼻カゼ	(はなかぜ)
鼻かぜ	(はなかぜ)
鼻がたかい	(はながたかい)
鼻が高い	(はながたかい)
鼻クソ	(はなくそ,はなクソ)
鼻くそ	(はなくそ,はなクソ)
鼻すじ	(はなすじ)
鼻たけ	(はなたけ,びじょう)
鼻っぱしら	(はなっぱしら)
鼻っぱり	(はなっぱり)
鼻つまみ	(はなつまみ)
鼻づまり	(はなづまり)
鼻づら	(はなづら)
鼻っ張り	(はなっぱり)
鼻っ柱	(はなっぱしら)
鼻ひげ	(はなひげ)
鼻メガネ	(はなめがね,ハナメガネ)
鼻めがね	(はなめがね,ハナメガネ)
鼻をあかす	(はなをあかす)
鼻を高くする	(はなをたかくする)
鼻を明かす	(はなをあかす)
鼻を突き合わす	(はなをつきあわす)
鼻を折る	(はなをおる)
鼻白む	(はなしらむ)
鼻唄	(はなうた)
鼻持ちならぬ	(はなもちならぬ)
鼻衝	(はなつき)
鼻衝き	(はなつき)
鼻出血	(びしゅっけつ)
鼻端	(びたん)
鼻糞	(はなくそ,はなクソ)
鼻風邪	(はなかぜ)
鼻綱	(はなづな)
鼻高	(はなたか,はなだか)
鼻高々	(はなたかだか)
鼻高高	(はなたかだか)
鼻歌	(はなうた)
鼻歌まじり	(はなうたまじり)
鼻歌混じり	(はなうたまじり)
鼻歌交じり	(はなうたまじり)
鼻革	(はながわ)
鼻根	(びこん)
鼻骨	(びこつ)
鼻汗	(はなあせ)
鼻呼吸	(はなこきゅう,びこきゅう)
鼻許	(はなもと)
鼻疾	(びしつ)
鼻詰まり	(はなづまり)
鼻詰り	(はなづまり)
鼻筋	(はなすじ)
鼻鏡	(はなかがみ,びきょう)
鼻孔	(びこう)
鼻口	(びこう)
鼻潰れ	(はなつぶれ)
鼻梁	(びりょう)
鼻輪	(はなわ)
鼻毛	(はなげ)
鼻面	(はなづら)
鼻木	(はなぎ)
鼻内	(びない)
鼻腔	(びこう,びくう)
鼻茸	(はなたけ,びじょう)
鼻声	(はなごえ,びせい)
鼻屎	(はなくそ,はなクソ)
鼻拭き	(はなふき)
鼻水	(はなみず)
鼻突	(はなつき)
鼻突き	(はなつき)
鼻突き合い	(はなつきあい)
鼻息	(はないき,びそく)
鼻息が荒い	(はないきがあらい)
鼻下	(びか)
鼻下長	(びかちょう)
鼻先	(はなさき)
鼻向け	(はなむけ)
鼻緒	(はなお)
鼻血	(はなぢ,はなじ)
鼻炎	(びえん)
鼻眼鏡	(はなめがね,ハナメガネ)
鼻薬	(はなぐすり)
鼻音	(びおん)
鼻元	(はなもと)
鼻摘まみ	(はなつまみ)
鼻摘み	(はなつまみ)
鼻紙	(はながみ)
鼻柱	(はなばしら)
鼻濁音	(びだくおん)
鼻髭	(はなひげ)
鼻祖	(びそ)
嬶天下	(かかあでんか)
匕	(さじ,しゃじ,かい)
匕首	(あいくち,ひしゅ)
比	(ころ,ごろ)
比い	(たぐい)
比する	(ひする)
比べ	(くらべ)
比べる	(くらべる)
比ゆ	(ひゆ)
比肩	(ひけん)
比較	(ひかく)
比較的	(ひかくてき)
比較対照	(ひかくたいしょう)
比較級	(ひかくきゅう)
比較文学	(ひかくぶんがく)
比較言語学	(ひかくげんごがく)
比類のない	(ひるいのない)
比類の無い	(ひるいのない)
比例	(ひれい)
比律賓	(フィリピン,フィリッピン,フイリピン)
比率	(ひりつ)
比目魚	(ひらめ,ヒラメ)
